xcentroid ycentroid alt az
477 505 35.17669845040566 89.7326640197865
628 648 45.783846457723854 135.9600501491087
557 398 49.567900968935795 63.986434680774956
834 593 60.3271582943641 200.3009585220031
479 339 31.84797915241092 57.22550405277378
574 251 36.558924932132 31.962151085858014
1017 482 40.181885133622266 255.36376079286183
509 575 36.853968754478814 105.06130286709784
520 329 37.83243069184881 51.683666752111826
499 204 20.253453933827533 36.075009658299706
683 781 26.67547987161448 157.41990625937876
517 375 41.1729592607452 61.30560411709022
987 580 34.43053235854139 231.40887261974862
554 707 28.668798357712287 130.66048203194612
489 570 33.96384778361727 102.99564370693585
622 742 29.46854722301971 144.7407066240629
1014 707 21.972368488851586 216.0519870065581
590 751 25.432319965760797 140.3977779298609
504 493 40.596512734415846 88.19923353085943
