x,y,alt,az,alt_err,az_err,sample_size,star_name,ra,dec,real_alt,real_az
527.0,677.0,35.202817924666554,89.66540877738855,0.0,0.0,1.0,  9Alp CMa,06h45m08.9s,-16d42m58s,35.17854996590181,89.6558819069853
731.0,706.0,45.76919866738154,135.88998454393223,0.0,0.0,1.0,   Alp Car,06h23m57.1s,-52d41m45s,45.75575642691907,135.95047432786066
532.0,546.0,49.82732171168417,63.97027227885442,0.0,0.0,1.0, 19Bet Ori,05h14m32.3s,-08d12m06s,49.700344221392655,63.983049749173965
865.0,544.0,60.42439489646628,200.2320776099621,0.0,0.0,1.0,   Alp Eri,01h37m42.9s,-57d14m12s,60.462105394826104,200.21245030716193
434.0,543.0,31.710755881685124,57.28845606966079,0.0,0.0,1.0, 58Alp Ori,05h55m10.3s,+07d24m25s,31.78499594133774,57.27236506555987
459.0,417.0,36.61762530820246,31.975469251089486,0.0,0.0,1.0, 87Alp Tau,04h35m55.2s,+16d30m33s,36.576347838838316,31.993922318955452
951.0,351.0,40.204102346960674,255.41924678486592,0.0,0.0,1.0, 24Alp PsA,22h57m39.1s,-29d37m20s,40.15059652162359,255.43405855562185
592.0,716.0,36.87231372656372,105.27417843380478,0.0,0.0,1.0, 21Eps CMa,06h58m37.5s,-28d58m20s,36.90397818982153,105.1599617794031
460.0,511.0,37.72857961152333,51.82332907424277,0.0,0.0,1.0, 24Gam Ori,05h25m07.9s,+06d20m59s,37.796199118585754,51.74405127581688
371.0,423.0,20.109208865339312,35.98957466018605,0.0,0.0,1.0,112Bet Tau,05h26m17.5s,+28d36m27s,20.19797737533575,36.032671225986924
851.0,781.0,26.55086659676352,157.30101442747485,0.0,0.0,1.0,   Bet Car,09h13m12.0s,-69d43m02s,26.598157630495848,157.38604284979414
486.0,549.0,41.169944845270145,61.18518325618328,0.0,0.0,1.0, 46Eps Ori,05h36m12.8s,-01d12m07s,41.06974736480002,61.262037479922654
1013.0,450.0,34.4302498073538,231.45558344695868,0.0,0.0,1.0,   Alp Gru,22h08m14.0s,-46d57m40s,34.49858626181894,231.46493124477777
703.0,794.0,28.524293377984115,130.60376544150623,0.0,0.0,1.0,   Gam2Vel,08h09m32.0s,-47d20m12s,28.579027138431872,130.68485948871896
575.0,723.0,34.019988873589405,103.02653235385986,0.0,0.0,1.0, 25Del CMa,07h08m23.5s,-26d23m36s,34.01094333150112,103.04958600185014
780.0,786.0,29.404379187623128,144.75528354206727,0.0,0.0,1.0,   Eps Car,08h22m30.8s,-59d30m35s,29.46431169561817,144.7483095599038
1074.0,538.0,21.8790643376292,216.05888770928158,0.0,0.0,1.0,   Alp Pav,20h25m38.9s,-56d44m06s,21.921215418353185,216.07843753497065
758.0,810.0,25.33847785669009,140.32727111046094,0.0,0.0,1.0,   Del Vel,08h44m42.2s,-54d42m30s,25.353302153121867,140.3575581410848
542.0,653.0,40.525344904545605,88.19780502289413,0.0,0.0,1.0,  2Bet CMa,06h22m42.0s,-17d57m21s,40.545251604547566,88.14131118866928
576.0,238.0,35.01664938301572,347.77825878464563,0.0,0.0,1.0, 13Alp Ari,02h07m10.4s,+23d27m45s,34.981958000771996,347.85665425578503
807.0,337.0,58.58184596923481,286.3693808957096,0.0,0.0,1.0, 16Bet Cet,00h43m35.4s,-17d59m12s,58.548866543149956,286.2217733147187
486.0,557.0,40.710187067696,62.91967994078014,0.0,0.0,1.0, 50Zet Ori,05h40m45.5s,-01d56m34s,40.68621725582073,62.98216849418338
518.0,589.0,43.9997481582415,72.73602296399608,0.0,0.0,1.0, 53Kap Ori,05h47m45.4s,-09d40m11s,43.91644972488434,72.76861549846603
982.0,449.0,40.37304875789357,232.3557887538588,0.0,0.0,1.0,   Bet Gru,22h42m40.1s,-46d53m05s,40.32512576029167,232.43719955437825
484.0,541.0,41.209826476892616,59.30482186774118,0.0,0.0,1.0, 34Del Ori,05h32m00.4s,-00d17m57s,41.256794450586014,59.43807081788165
657.0,792.0,27.578234853112093,122.35564328830799,0.0,0.0,1.0,   Zet Pup,08h03m35.1s,-40d00m12s,27.501146415342042,122.3754048763755
797.0,818.0,22.69853896521241,146.6584376490694,0.0,0.0,1.0,   Iot Car,09h17m05.4s,-59d16m31s,22.747519571004037,146.68914068761845
884.0,445.0,58.97832949209232,237.798203987352,0.0,0.0,1.0,   Alp Phe,00h26m17.0s,-42d18m22s,58.93443912672001,237.75628078155904
590.0,745.0,31.744088643166023,107.70011408948723,0.0,0.0,1.0, 31Eta CMa,07h24m05.7s,-29d18m11s,31.750560476406772,107.72327682215753
775.0,833.0,20.53737270260673,142.72012924793506,0.0,0.0,1.0,   Kap Vel,09h22m06.8s,-55d00m39s,20.441535461984245,142.76189821620943
590.0,364.0,55.31749958293029,5.147346128025233,0.0,0.0,1.0, 92Alp Cet,03h02m16.8s,+04d05m23s,55.24878771667833,5.111546812098083
565.0,595.0,51.13674586182077,80.5729984081592,0.0,0.0,1.0, 11Alp Lep,05h32m43.8s,-17d49m20s,51.18468268616932,80.48177736943515
642.0,640.0,54.452030146548566,107.05809662153659,0.0,0.0,1.0,   Alp Col,05h39m38.9s,-34d04m27s,54.40453239335141,107.1231982893948
599.0,236.0,36.91436621193451,343.49857151512515,0.0,0.0,1.0,  6Bet Ari,01h54m38.4s,+20d48m29s,36.89719662490392,343.6135715910129
637.0,744.0,35.49616250299903,116.1796453679369,0.0,0.0,1.0,   Pi  Pup,07h17m08.6s,-37d05m51s,35.42272270779616,116.1635475099648
