x,y,alt,az,alt_err,az_err,sample_size,star_name,ra,dec
442.0,476.0,35.300056310720905,89.67222643480181,0.04907968360475223,0.07581387874802202,2.0,  9Alp CMa,06h45m08.9s,-16d42m58s
568.0,642.0,45.850794032588816,136.00139082058408,0.0,0.12517385257299907,2.0,   Alp Car,06h23m57.1s,-52d41m45s
539.0,386.0,49.74935683318528,64.04845290973977,0.07994560710458365,0.09632692569789247,3.0, 19Bet Ori,05h14m32.3s,-08d12m06s
780.0,620.0,60.49881356795758,200.2498925776588,0.0525359399977674,0.05156272379653615,2.0,   Alp Eri,01h37m42.9s,-57d14m12s
471.0,314.0,31.800362106508995,57.30931429520172,0.05090118666505816,0.006475178482503452,2.0, 58Alp Ori,05h55m10.3s,+07d24m25s
578.0,242.0,36.60031845617959,32.11354115309564,0.05005702313018645,0.08095110163762342,2.0, 87Alp Tau,04h35m55.2s,+16d30m33s
977.0,541.0,40.19758009118671,255.41549829480863,0.048878470572159216,0.04604016672983846,2.0, 24Alp PsA,22h57m39.1s,-29d37m20s
460.0,550.0,36.80102542912151,105.1899636091893,0.048029440919624015,0.017648847558064062,2.0, 21Eps CMa,06h58m37.5s,-28d58m20s
513.0,309.0,37.801134213280505,51.65492957746477,0.050506867032972025,0.1056338028168966,4.0, 24Gam Ori,05h25m07.9s,+06d20m59s
511.0,183.0,20.10353420409148,36.021654413087845,0.0488781381739507,0.00589259172193124,2.0,112Bet Tau,05h26m17.5s,+28d36m27s
601.0,782.0,26.54989122621745,157.42409638554216,0.0,0.0,1.0,   Bet Car,09h13m12.0s,-69d43m02s
503.0,355.0,41.05545130151607,61.23043206011271,0.0,0.0,1.0, 46Eps Ori,05h36m12.8s,-01d12m07s
953.0,655.0,34.49958040736398,231.55267711763543,0.048684311565725835,0.0036142730930208704,2.0,   Alp Gru,22h08m14.0s,-46d57m40s
485.0,686.0,28.55220418657931,130.73991031390136,0.0,0.0,1.0,   Gam2Vel,08h09m32.0s,-47d20m12s
443.0,543.0,33.999172436594115,102.9660633910243,0.0501924924326076,0.035028908265701375,2.0, 25Del CMa,07h08m23.5s,-26d23m36s
545.0,734.0,29.49819742670865,144.67129045258616,0.04906566550649138,0.015420007242028078,2.0,   Eps Car,08h22m30.8s,-59d30m35s
937.0,762.0,21.90161183568345,216.147564198253,0.050670757663427324,0.03445827365702313,2.0,   Alp Pav,20h25m38.9s,-56d44m06s
513.0,737.0,25.300476768538427,140.3816940753972,0.051411237170867714,0.017455664801190096,2.0,   Del Vel,08h44m42.2s,-54d42m30s
470.0,469.0,40.600893795326904,88.15529615188309,0.04964706063978142,0.026804531771347232,2.0,  2Bet CMa,06h22m42.0s,-17d57m21s
786.0,197.0,35.05166615155361,347.77438013992406,0.08275766057232456,0.00436679579413824,3.0, 13Alp Ari,02h07m10.4s,+23d27m45s
883.0,430.0,58.55401101494152,286.29158512720164,0.0,0.0,1.0, 16Bet Cet,00h43m35.4s,-17d59m12s
498.0,361.0,40.70160327616894,62.91045468802395,0.051062420202246266,0.011138342467688744,2.0, 50Zet Ori,05h40m45.5s,-01d56m34s
498.0,407.0,44.04969429187951,72.85868396505191,0.0992262963503947,0.05575453762185133,2.0, 53Kap Ori,05h47m45.4s,-09d40m11s
932.0,633.0,40.300004442232535,232.54625068418167,0.05354588047366704,0.009304871373828405,2.0,   Bet Gru,22h42m40.1s,-46d53m05s
508.0,349.0,41.24816222595173,59.490592807844,0.08199293980933689,0.019703524475156758,3.0, 34Del Ori,05h32m00.4s,-00d17m57s
453.0,652.0,27.55086576240436,122.39471106758076,0.0,0.0,1.0,   Zet Pup,08h03m35.1s,-40d00m12s
535.0,770.0,22.69860396792412,146.7000096694295,0.050362753103215134,0.010636372426773729,2.0,   Iot Car,09h17m05.4s,-59d16m31s
863.0,562.0,58.997714972675155,237.7487429888017,0.04898609311905844,0.05758112187022847,2.0,   Alp Phe,00h26m17.0s,-42d18m22s
438.0,570.0,31.749460919843937,107.83911671924295,0.0,0.0,1.0, 31Eta CMa,07h24m05.7s,-29d18m11s
509.0,766.0,20.401895851438265,142.77196074546083,0.04837299087660085,0.06445086403789446,2.0,   Kap Vel,09h22m06.8s,-55d00m39s
710.0,298.0,55.350159283206736,5.1949723631408355,0.09996245562743766,0.2305595517528616,2.0, 92Alp Cet,03h02m16.8s,+04d05m23s
528.0,445.0,51.200210271609535,80.4867991712456,0.0508340289767375,0.08632335839865846,2.0, 11Alp Lep,05h32m43.8s,-17d49m20s
550.0,532.0,54.34945020328183,107.13639160639595,0.08052263902147486,0.1917013381259067,3.0,   Alp Col,05h39m38.9s,-34d04m27s
803.0,211.0,36.9017831759025,343.71896401543916,0.05272830586136479,0.035361244076483445,2.0,  6Bet Ari,01h54m38.4s,+20d48m29s
473.0,603.0,35.5008878623086,116.211019951873,0.050418779038881915,0.020008715917896325,2.0,   Pi  Pup,07h17m08.6s,-37d05m51s
509.0,381.0,44.14542362367405,66.07711690704977,0.09728164178252996,0.07108068974596904,2.0, 44Iot Ori,05h35m26.0s,-05d54m36s
544.0,367.0,48.900539266227206,58.72710472210392,0.04915101545937972,0.005131627933479877,2.0, 67Bet Eri,05h07m51.0s,-05d05m11s
772.0,730.0,40.4464806776649,190.0247524752475,0.0,0.0,1.0,   Bet Hyi,00h25m45.1s,-77d15m15s
382.0,582.0,20.799030990920826,106.682565795247,0.04913111209078025,0.06809733472647395,2.0, 15Rho Pup,08h07m32.6s,-24d18m15s
